,region,department,overseas,city,station,latitude,longitude
2,GRAND EST,MOSELLE,False,HAYANGE,Hayange&FR01005,49.324722,6.076108
3,GRAND EST,MOSELLE,False,METZ,Metz-Centre&FR01011,49.119442,6.180833
4,GRAND EST,MOSELLE,False,METZ,Metz-Borny&FR01012,49.110283,6.223336
5,GRAND EST,MEURTHE-ET-MOSELLE,False,PONT-À-MOUSSON,Pont-à-Mousson&FR01014,48.915,6.058336
6,GRAND EST,MEURTHE-ET-MOSELLE,False,BLÉNOD-LÈS-PONT-À-MOUSSON,Blénod-lès-PAM&FR01015,48.884724,6.051392
7,GRAND EST,MEURTHE-ET-MOSELLE,False,ATTON,Atton&FR01016,48.886387,6.093611
8,GRAND EST,MOSELLE,False,SCY-CHAZELLES,Scy-Chazelles&FR01018,49.107502,6.122775
9,GRAND EST,MOSELLE,False,THIONVILLE,Thionville-Piscine&FR01019,49.36861,6.160831
10,GRAND EST,MOSELLE,False,THIONVILLE,Thionville-Centre&FR01020,49.358337,6.156942
11,GRAND EST,MOSELLE,False,THIONVILLE,Thionville-Garche&FR01021,49.394444,6.201392
12,GRAND EST,MOSELLE,False,HAYANGE,HAYANGE-MARSPICH&FR01059,49.3374,6.08207
13,GRAND EST,MOSELLE,False,MALROY,Malroy&FR01060,49.16885,6.212669
14,GRAND EST,MOSELLE,False,FLORANGE,Florange_Bétange_HAP&FR01061,49.3331,6.1147
15,GRAND EST,MOSELLE,False,SERÉMANGE-ERZANGE,Serémange-Erzange&FR01063,49.321334,6.103931
16,GRAND EST,MOSELLE,False,METZ,Metz- Pont Grilles&FR01064,49.12508,6.181219
17,GRAND EST,MEUSE,False,BELLEVILLE-SUR-MEUSE,Belleville sur Meuse&FR01065,49.16778,5.387461
18,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,BERRE-L'ÉTANG,Berre l'Etang&FR02001,43.486234,5.171939
19,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,MARTIGUES,Martigues P. Central&FR02004,43.416661,5.042731
20,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,MARTIGUES,Martigues Laurons&FR02006,43.358982,5.023388
21,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,MARTIGUES,Martigues La Gatasse&FR02007,43.360692,5.058139
